scorer,DLC_Resnet50_chimera_launch_videosSep15shuffle1_snapshot_200,DLC_Resnet50_chimera_launch_videosSep15shuffle1_snapshot_200,DLC_Resnet50_chimera_launch_videosSep15shuffle1_snapshot_200,DLC_Resnet50_chimera_launch_videosSep15shuffle1_snapshot_200,DLC_Resnet50_chimera_launch_videosSep15shuffle1_snapshot_200,DLC_Resnet50_chimera_launch_videosSep15shuffle1_snapshot_200,DLC_Resnet50_chimera_launch_videosSep15shuffle1_snapshot_200,DLC_Resnet50_chimera_launch_videosSep15shuffle1_snapshot_200,DLC_Resnet50_chimera_launch_videosSep15shuffle1_snapshot_200,DLC_Resnet50_chimera_launch_videosSep15shuffle1_snapshot_200,DLC_Resnet50_chimera_launch_videosSep15shuffle1_snapshot_200,DLC_Resnet50_chimera_launch_videosSep15shuffle1_snapshot_200
bodyparts,eye,eye,eye,ear,ear,ear,shoulder,shoulder,shoulder,objectA,objectA,objectA
coords,x,y,likelihood,x,y,likelihood,x,y,likelihood,x,y,likelihood
137,516.96405,157.92426,0.5102318,443.71738,68.18387,0.4342846,505.35693,192.3556,0.65089047,454.45752,48.23991,0.43327874
138,459.5486,60.48982,0.5851823,443.9944,56.161263,0.4528292,505.27286,193.33606,0.66728985,453.78772,39.904896,0.5127016
139,459.7097,60.04579,0.5451062,439.67804,57.036755,0.34669584,505.2705,189.91725,0.72231346,453.6009,37.07801,0.6236806
140,459.3405,56.13308,0.66759926,441.01035,57.77929,0.37484422,506.25568,188.69965,0.77684474,454.31198,37.82608,0.4623334
141,517.0708,148.55891,0.60521686,446.38785,57.725353,0.50944346,506.35757,187.29407,0.758163,454.94254,32.370007,0.64490134
142,515.2574,148.61275,0.7194556,493.3218,140.66588,0.37410453,507.1675,186.46158,0.79728764,516.2543,120.70979,0.38277444
143,514.0834,146.80745,0.7371366,448.42062,53.14152,0.542269,507.418,183.70174,0.79094446,461.3194,22.90408,0.5915061
144,513.86707,146.84457,0.72036237,450.08047,48.121246,0.5532358,508.95074,181.25298,0.8353943,464.21155,24.297089,0.41846094
145,514.17224,143.32565,0.6600246,494.7769,138.53555,0.49855062,509.47122,179.78343,0.8251759,465.78333,23.105759,0.3224383
146,511.63287,142.431,0.57367986,452.48206,38.117035,0.5054552,512.3678,178.63292,0.8426816,468.24207,19.175745,0.3134774
147,510.5793,143.98914,0.58844966,494.8472,141.61636,0.53446984,512.0564,177.47519,0.8745645,470.052,16.819939,0.3098366
148,468.321,33.684425,0.6338928,449.91208,34.603306,0.70465,511.8442,176.8277,0.8333327,468.56863,9.821542,0.5642296
149,511.8874,139.86308,0.5975074,493.60022,138.43208,0.6548787,512.0252,176.62747,0.80749923,471.91605,10.003529,0.45087087
150,476.18405,26.100792,0.78861177,493.5802,139.16907,0.62208164,513.87726,172.9196,0.8393762,481.8194,2.7827978,0.56070435
151,478.40613,24.297375,0.8250656,457.27856,19.713587,0.62465215,514.946,171.2344,0.75213766,484.2484,4.379215,0.3355038
152,474.62015,21.287025,0.74913275,454.09827,23.833717,0.71444166,515.8128,169.75945,0.6972995,484.30206,0.8044081,0.39713815
153,504.87653,138.70056,0.5890809,457.37048,21.44806,0.6385593,516.6004,168.17677,0.7045341,506.60983,111.42201,0.258792
154,504.66574,137.78134,0.57925016,492.10318,136.03508,0.68550336,517.5289,164.13203,0.6851652,506.02112,112.43134,0.2810302
155,504.51895,136.16428,0.583067,491.791,134.45009,0.7384067,518.20807,164.52579,0.7470835,493.59253,14.951172,0.280371
156,503.52075,135.73651,0.5256092,492.0438,135.30928,0.7268728,520.0567,163.80014,0.671131,495.69373,12.412238,0.26080623
157,504.4969,133.02272,0.59755635,490.83505,134.72736,0.8159508,521.2247,163.57198,0.65115255,505.24347,106.1442,0.34139767
158,506.2885,131.58414,0.6651318,490.66977,134.86903,0.8448791,521.52185,161.48964,0.67451376,505.4989,102.85737,0.5204617
159,510.21317,131.88197,0.71117467,490.59534,135.21138,0.8737693,523.39404,160.85619,0.72229564,506.37247,102.171974,0.56153625
160,510.16058,130.68504,0.7407287,489.13928,135.58641,0.8838157,522.8358,159.50133,0.7294097,507.5595,99.56317,0.55911314
161,511.1213,130.16516,0.7427547,488.8864,135.78731,0.9353989,524.9061,159.33539,0.71435124,507.85547,98.897446,0.5326812
162,509.55847,128.52448,0.7816206,488.1919,133.93614,0.90424645,526.893,158.43558,0.70971256,507.10086,96.01233,0.57848483
163,511.16452,127.60582,0.81138754,488.0728,135.05896,0.84732,530.5522,157.07901,0.7228066,506.75266,93.0622,0.6811414
164,511.58676,125.56498,0.78955793,488.25613,134.74802,0.82706434,530.74,156.61885,0.73102844,506.07843,91.85786,0.6819198
